"Account","Description","Estimated Cost","Actual Cost"
"1000","Story Rights","",""
"1100","Screenplay","",""
"1200","Producer","",""
"1300","Director","",""
"1400","Cast","",""
"2000","Production Staff","",""
"2100","Camera Department","",""
"2200","Grip & Electric","",""
"2300","Sound Department","",""
"2400","Art Department","",""
"2500","Wardrobe","",""
"2600","Hair & Makeup","",""
"3000","Production Equipment","",""
"3100","Locations","",""
"3200","Transportation","",""
"3300","Catering","",""
"4000","Post-Production","",""
"4100","Editing","",""
"4200","Visual Effects","",""
"4300","Sound Design & Mix","",""
"4400","Color Correction","",""
"5000","Music","",""
"6000","Legal & Insurance","",""
"7000","Marketing & Distribution","",""
"8000","Contingency","",""
